화랑도	hwarangdo
동행...	tonghaeng...
고궁	kogung
서석	sŏsŏk
읒	ŭt
태보	t'aebo
경주	kyŏngju
탄	t'an
명가	myŏngga
쏜	sson
위생	wisaeng
가마틀	kamat'ŭl
상남동	sangnam-dong
2과	2kwa
가정의례서	kajŏngŭiresŏ
쬎	tchwaep
왕주	wangju
넓은가	nŏlbŭn'ga
묘엄	myoŏm
뙗	ttwael
숥	sul
사망	samang
보현	pohyŏn
킁	k'ŭng
보더	bodǒ
상봉녹	sangbongnok
하덕	hadŏk
1930년대	1930-yŏndae
일엽	iryŏp
전화기	chŏnhwagi
피었습니다	p'iŏtssŭmnida
번역가들	pŏnyŏkkadŭl
복합적	pokhapchŏk
똣	ttot
켱	k'yŏng
장물	changmul
릢	nip
실향	sirhyang
사무국	samuguk
의식	ŭisik
막았을까	magassŭlkka
래호	naeho
인돈	indon
선결	sŏn'gyŏl
우락	urak
30대	30-tae
교양서	kyoyangsŏ
리니지	liniji
갟	kaek
6자	6cha
대승	taesŭng
해제	haeje
개인성	kaeinsŏng
육전」	"yukchŏn"""
관학	kwanhak
화선	hwasŏn
진홍	chinhong
카다레	k'adare
자서전	chasŏjŏn
계회도	kyehoedo
부품사	pup'umsa
턝	t'yaek
업자	ŏpcha
4집	4chip
애자	aeja
구성체론	kusŏngch'eron
봉사론	pongsaron
폤	p'yet
쪵	tchyeng
유엔군	yuen'gun
측험	ch'ŭkhŏm
돨	twal
식물원	singmurwŏn
'서울	'sŏul
목격	mokkyŏk
신명	sinmyŏng
령혼	yŏnghon
권흥	kwŏnhŭng
발췌	palch'we
태주	t'aeju
뼊	ppyŏk
교영	kyoyŏng
남일당	namildang
숨기기	sumgigi
지도과	chidokwa
역동성	yŏktongsŏng
해남	haenam
유일	yuil
껣	kkep
누욝	nuyok
팣	p'at
스테판	sŭt'ep'an
헤지	heji
와고	wago
변론기	pyŏllon'gi
한숙	hansuk
순조	sunjo
27인	27-in
소작	sojak
현재성	hyŏnjaesŏng
이태	it'ae
"암탉"""	"amt'ak"""
찿다	ch'atta
와혈	wahyŏl
올랐다	ollatta
국학	kukhak
지는데	chinŭnde
닅	nit
금성사	kŭmsŏngsa
뜨겁다	ttŭgŏpta
넩	nen
뉿	yup
무숙	musuk
셔한	syŏhan
거짓들	kŏjittŭl
묀	moen
저널	chŏnŏl
뛋	ttwŏt
햤	hyat
청시	ch'ŏngsi
해외	haeoe
보다는	podanŭn
공정성	kongjŏngsŏng
소인	soin
썢	ssyaet
뭍	mut
강숙	kangsuk
뛆	ttwŏp
부수고	pusugo
해연	haeyŏn
8요일	8-yoil
연구서	yŏnʼgusŏ
기현	kihyŏn
췛	ch'wel
진위	chinwi
긪	kit
수리	suri
만사	mansa
뇮	yon
1960-2000년	1960-2000-yŏn
용신	yongsin
의술	ŭisul
오십분	osippun
통하지	tonghaji
께서	kkesŏ
햇	haet
따뜻한	ttattŭthan
팔현	p'alhyŏn
건우	kŏnu
늝	nŭl
작별	chakpyŏl
향기롭고	hyanggiropko
오졸재	ojolchae
졔	che
42년	42-yŏn
중산층	chungsanch'ŭng
차이나	ch'aina
씨앗	ssiat
푂	p'oek
선열	sŏnyŏl
혐	hyŏm
사쿠라	sak'ura
눈꽃	nunkkot
효실	hyosil
겨냥	kyŏnyang
쥩	chwit
72호	72-ho
중퇴	chungt'oe
영명	yŏngmyŏng
고침	koch'im
쥉	chweng
대사건	daesagŏn
논리학	nollihak
입담	iptam
춾	ch'wŏp
책상	ch'aeksang
부패	pup'ae
훨쩍	hwŏltchŏk
긋	kŭt
빤	ppan
보다!	poda!
생활	saenghwal
보영	poyŏng
읞	ŭin
한몽	hanmong
형성기	hyŏngsŏnggi
장황	changhwang
표상	p'yosang
꼭두각시	kkoktugaksi
병섭	pyŏngsŏp
택면	t'aengmyŏn
민요학	minyohak
서울대생	sŏuldaesaeng
지도집	chidojip
시상식	sisangsik
연시조	yŏnsijo
9호	9ho
프로파일	p'ŭrop'ail
두삼	tusam
소오지	sooji
녹아드는	nogadŭnŭn
강강	kanggang
거푸집	kŏp'ujip
레가토	regat'o
츪	ch'ŭm
츳	ch'ŭt
들어야	tŭrŏya
뺏어봐	ppaesŏbwa
용치	yongch'i
왗	wat
철학자들	ch'ŏrhakchadŭl
1590년	1590-yŏn
영노	yŏngno
13-15대	13-15-tae
응용	ŭngyong
변해	pyŏnhae
지방직	chibangjik
남선	namsŏn
상지대	sangjidae
깨우다	kkaeuda
켘	k'ek
용대	yongdae
일중	ilchung
화법	hwapŏp
거문고	kŏmunʼgo
벽동	pyŏktong
밀약	miryak
선집	sŏnjip
뤗	nwŏt
푇	p'oet
선달	sŏndal
꺵	kkyaeng
콖	k'ok
형평	hyŏngp'yŏng
퍁	p'aet
본영	ponyŏng
사업소	saŏpso
있잖아...	itchana...
모습들	mosŭptŭl
인만	inman
냪	yap
9부	9pu
'중심'	'chungsim'
대표시	taep'yosi
훈제	hunje
발병	palpyŏng
큁	k'wil
포세이돈	p'oseidon
위나	wina
레짐론'	rejimnon'
라야	raya
분산성	punsansŏng
없을	ŏpsŭl
수라	sura
"재조명"""	"chaejomyŏng"""
먹으려	mŏgŭryŏ
시흥시	sihŭng-si
객관성	kaekkwansŏng
만혁	manhyŏk
의사국	ŭisaguk
영구과	yŏnggukwa
뚝딱	ttukttak
조정실	chojŏngsil
뻚	ppŏm
756일	756-il
평가	p'yŏngka
강점하	kangjŏmha
은명	ŭnmyŏng
예감	yegam
기획원	kihoegwŏn
뮄	mwek
월영	wŏryŏng
드	tŭ
80인	80-in
흉노	hyungno
연가	yŏn'ga
죽이고	chugigo
같고도	katkodo
덕임	tŏgim
제복	chebok
의	ŭi
녧	yep
단체	tanch'e
퓪	p'yuk
메갈	megal
열등	yŏltŭng
도량형	toryanghyŏng
평안한	p'yŏnganhan
새로	saero
온전한	onjŏnhan
팔아	p'ara
석실분	sŏksilbun
효치	hyoch'i
꺳	kkyaet
에세이	esei
삩	ppit
쇲	soep
싾	ssan
콋	k'yet
아리랑.	arirang
성서원	sŏngsŏwŏn
잃어버릴	irŏbŏril
1943-1955년	1943-1955-yŏn
관할	kwanhal
관행	kwanhaeng
됐어?	twaessŏ?
발해성	parhaesŏng
가리라	karira
선정한	sŏnjŏnghan
교도섬	kyodosŏm
들어온	tŭrŏon
90호	90-ho
뿄	ppyot
살인마	sarinma
사상가들	sasanggadŭl
창현	ch'anghyŏn
체리	ch'eri
만당	mandang
시세이	sisei
정권들	chŏngkwŏndŭl
뾈	ppwaem
심덕	simdŏk
강산	kangsan
유연화	yuyŏnhwa
근명	kŭnmyŏng
지석묘	chisŏngmyo
의군부	ŭigunbu
뼔	ppyŏl
동운	tongun
주거론	chugŏron
호박꽃	hobakkkot
현룡	hyŏllyong
열사	yŏlsa
촌뜨기	ch'onttŭgi
안드레포프	andŭrop'op'ŭ
회복	hoebok
칪	ch'ip
밝혀	palk'yŏ
문림	mullim
꽸	kkwaet
톲	t'op
도환	tohwan
맭	maek
췴	ch'wil
칠천량	ch'ilch'ŏnnyang
오매	omae
성곽길	sŏnggwakkil
1등이야	1-tŭngiya
쪟	tchyŏ
채완	ch'aewan
기당	kidang
취	ch'wi
평야	p'yŏngya
속성	soksŏng
잳	chaet
99편	99-p'yŏn
기택	kit'aek
북한시	pukhansi
뵄	pwaek
16인	16-in
명저들	myŏngjŏdŭl
인석	insŏk
댖	taet
텇	t'ŏt
덕훈	tŏkhun
초국경	ch'ogukkyŏng
위원회	wiwŏnhoe
9단	9tan
고령자	koryŏngja
세계성	segyesŏng
껴안고	kkyŏanko
서곡	sŏgok
쓙	ssyun
전임자	chŏnimja
유균	yugyun
사적	sachŏk
권환	kwŏnhwan
45주년	45-chunyŏn
쥲	chun
한국병	han'gukpyŏng
끮	kkŭip
대반전	taebanjŏn
스테파노스	sŭt'ep'anosŭ
소호당	sohodang
추측	ch'uch'ŭk
"""양호"	"""yangho"
찺	ch'ap
삚	ppim
뺥	ppyal
노동론	nodongnon
잦	chat
47호	47-ho
재붕	chaebung
퀉	k'wŏl
츋	ch'ut
서재	sŏjae
트레이닝	t'ŭreining
하의	haŭi
딬	tik
심하	simha
먹어야	mŏgŏya
지역화	chiyŏkhwa
정벌기	chŏngbŏlgi
왚	wap
'몸'	'mom'
숭실	sungsil
확성기	hwaksŏnggi
'한류'	'hallyu'
오랜	oraen
대규	taegyu
만천년	man-ch'ŏnnyŏn
들여진	tŭryŏjin
재야	chaeya
이주사	ijusa
톮	t'op
신홍	sinhong
복진	pokchin
정이	chŏngi
'조국	'choguk
예찬론	yech'annon
책쾌	ch'aekk'wae
보존	pojon
들어오는	tŭrŏonŭn
정엽	chŏngyŏp
가마니	kamani
구석기학	kusŏkkihak
쥨	chwik
절터	chŏlt'ŏ
상직	sangjik
띷	ttit
의문	ŭimun
읍	ŭp
유람록	yuramnok
공예사.	kongyesa.
북바인딩	pukbainding
끱	kkŭip
흵	hŭik
겕	kek
주방	chubang
다닌	tanin
아닙니다	animnida
20일	20-il
앞길	apkil
사기.	sagi.
튋	t'wip
긊	kŭp
민본	minbon
천역	ch'ŏnyŏk
쁫	ppŭt
통의동	t'ongŭi-dong
양수진	yangsu-jin
본심	ponsim
뽋	ppop
외할아버지	oeharaboji
화순군	hwasun-gun
현산	hyŏnsan
생각들	saenggaktŭl
금익	kŭmik
음화	ŭmhwa
잠금	chamgŭm
유로	yuro
흥렬	hŭngnyŏl
생협	saenghyŏp
앩	aek
설레는	sŏllenŭn
이념형	inyŏmhyŏng
춖	ch'uk
쵪	ch'oep
언어학회	ŏnŏhakhoe
시미즈	simijŭ
쯣	tchŭl
싛	si
치선	ch'isŏn
똠	ttom
또한	ttohan
신문관	sinmun'gwan
약탐기	yakt'amgi
홍은	hongŭn
산문	sanmun
삼중주	samjungju
픽션상	piksyŏnsang
산유화	sanyuhwa
일상사	ilsangsa
쾌락주의자	k'waerakchuŭija
화용	hwayong
삼키는	samk'inŭn
갈망	kalmang
진도	chindo
종익	chongik
바닌	panin
쟊	chak
심청가	simch'ŏngga
오솔길	osolkil
쇄	swae
가난한	kananhan
장려	changnyŏ
그레그	kŭregŭ
NIEs화	nies-hwa
420년	420-yŏn
톴	t'ot
국진	kukchin
프레시안	p'ŭresian
수월래	suwŏllae
띵	tting
영유	yŏngyu
자원	chawŏn
깆	kit
익숙해	iksukhae
세계	segye
적벽가	chŏkpyŏkka
정관	chŏnggwan
뙪	ttoen
연향도	yŏnhyangdo
공업별	kongŏppyŏl
벆	pŏk
펪	p'ep
문장론	munjangnon
방촌	pangch'on
상기	sanggi
108가지	108-kaji
화갑	hwagap
연극인	yŏngŭgin
관심	kwansim
제환	chehwan
풨	p'wŏt
믿지	mitchi
껢	kkem
노동시	nodongsi
초학용	ch'ohangnyong
모방	mobang
탿	t'at
핔	p'ik
건축가들	kŏnch'ukkadŭl
앉다	antta
섬유류	sŏmyuryu
메카니즘	mek'anijŭm
권수	kwŏnsu
대림동	taerim-dong
얁	yan
이슬람	isŭllam
요시아키	yosiak'i
엲	yŏn
1970-80년대	1970-80-yŏndae
부모님!	pumonim!
저작집	chŏjakchip
13월	13-wŏl
치준	ch'ijun
성렵	sŏngnyŏp
포에버.	p'oebŏ.
비평가	pip'yŏngga
식민지화	singminjihwa
그림집	kŭrimjip
변강사	pyŏngangsa
돔	tom
포스트포디즘	p'osŭt'ŭp'odijŭm
시주	siju
부길	pugil
괜찮다	kwaench'ant'a
인직	injik
총담	ch'ongdam
사회사적	sahoesajŏk
불순	pulsun
똩	ttot
멭	met
문화재.	munhwajae.
목민	mongmin
거침	kŏch'im
븗	pŭp
길만	kilman
퇴폐	t'oep'ye
휘날리고	hwinalligo
필론	p'illon
횇	hwaet
가요집	kayojip
후세	huse
2륜	2ryun
대선사	taesŏnsa
왼쪽	oentchok
읰	ŭik
뮟	mit
쯖	tchŭk
휘소	hwiso
시경	sigyŏng
비둘기	pidulgi
발해인	parhaein
쀐	ppwel
갈라	kalla
다츠지	tach'ŭji
꿧	kkwŏt
"""임"	"""im"
까치	kkach'i
은열	ŭnnyŏl
채록.	ch'aerok
손자들	sonjadŭl
외롭지	oeropchi
허풍	hŏp'ung
강아지	kangaji
점안	chŏman
바꿔도	pakkwŏdo
40년.	40-yŏn.
휴정	hyujŏng
양요	yangyo
한국'	han'guk'
한러	hanrŏ
모범	mobŏm
원평	wŏn₋p'yŏng
시네리테르	sinerit'erŭ
동회	tonghoe
첢	ch'ŏm
놭	nwat
복각	pokkak
현몽	hyŏnmong
풟	p'wŏp
쨕	tchyak
꺂	kkaep
섿	set
쎩	ssyŏk
차렸	ch'aryŏt
동근	tonggŭn
욈	oem
이던	idŏn
창작	ch'angjak
늭	nik
규남	kyunam
신모	sinmo
의식'	ŭlsik'
리더	lidŏ
치모	ch'imo
췌	ch'we
응철	ŭngch'ol̆
전초선	chŏnch'osŏn
"개혁"""	"kaehyŏk"""
세밀화	semilhwa
췥	ch'wet
1960년대-1980년대	1960-yŏndae-1980-yŏndae
한국-대만	han'guk-taeman
종호	chongho
진본	chinbon
겂	kŏp
입은	ibŭn
승석	sŭngsŏk
욶	un
녠	yen
뼚	ppyŏp
서집	sŏjip
페스탈로치	p'esŭt'alloch'i
토지	t'oji
자명	chamyŏng
껜	kken
형평성	hyŏngp'yŏngsŏng
지름	chirŭm
기윤실	kiyunsil
덜	tŏl
괛	kwaek
금윤	kŭmyun
경관	kyŏnggwan
시마네현	simane-hyŏn
코스모스	k'osŭmosŭ
텍스트적	t'eksŭt'ŭjŏk
귀영	kwiyŏng
못했네	mothaenne
똢	ttop
쓰지	ssŭji
폴리스	p'ollisŭ
동상	tongsang
구락부	kurakpu
억울함	ŏgurham
응와	ŭngwa
출헌	ch'urhŏn
문원	munwŏn
옴부즈만	ombŭjŭman
쯝	tchŭk
눟	nu
유언	yuŏn
윤상	yunsang
일무상	ilmusang
피었는데	p'iŏnnŭnde
폐인들	p'yeindŭl
손바닥	sonpadak
홮	hwap
해효	haehyo
이모션	imosyŏn
교육열	kyoyungnyŏl
외환론	oehwallon
똎	ttyep
집단적	chiptanjŏk
학사	haksa
껵	kkyŏk
왕궁리	wanggung-ni
타락	t'arak
미혼	mihon
지워지지	chiwŏjiji
리프	lip'ŭ
꿋	kkut
집으로--	chibŭro--
룡범	yongbŏm
아이작	aijak
뜎	ttyuk
북학파	pukhakp'a
충분	ch'ungbun
깨워야	kkaewŏya
힐디	hildi
천승	ch'ŏnsŭng
젝	chek
오해들	ohaedŭl
켬	k'yŏm
걓	kya
애족	aejok
뤩	nwek
시조집	sijojip
샬	sal
씊	ssŭp
력	yŏk
뫮	mwaep
첎	ch'yaep
차마	ch'ama
쌍봉	ssangbong
솤	sok
키	k'i
텚	t'ep
낭만파	nangmanp'a
편찬인	p'yŏnch'anin
지배사	chibaesa
뱉	paet
혜경궁	hyegyŏnggung
있는!	innŭn!
대한인	taehanin
릩	nit
민담	mindam
강욱	kanguk
룸	num
시즌	sijŭn
올바로	olbaro
콒	k'yep
현대화'	hyŏndaehwa'
가린-미하일롭스키	karin-mihaillopsŭk'i
건상	kŏnsang
소운	soun
앪	aem
어촌	ŏch'on
고령층	koryŏngch'ŭng
'다케시마	'tak'esima
쭾	tchwŏp
담는다	tamnŭnda
떔	ttyaem
문답	mundap
상사집	sangsajip
용혁	yonghyŏk
자라서	charasŏ
병갑	pyŏnggap
장식	changsik
문체론	munch'eron
쉖	swen
쫍	tchop
룒	yon
큶	k'ŭm
송사	songsa
기열	kiyŏl
혁명사	hyŏngmyŏngsa
볰	pyek
덴조	tenjo
협찬	hyŏpch'an
광복군	kwangbokkun
형아	hyŏnga
들다	tŭlda
나카츠카	nak'ach'ŭk'a
옮기고	omgigo
쮁	tchwek
컹	k'ŏng
홍종	hongjong
거유	kŏyu
교조	kyojo
폯	p'ok
의학사	ŭihaksa
뇧	noe
뿯	ppwŏt
죽지	chukchi
오리니	orini
진두	chindu
목공	mokkong
칀	ch'in
촺	ch'wat
독설	toksŏl
홍석	hongsŏk
의대	ŭidae
일만리	ilmalli
정보부	chŏngbobu
조망	chomang
어필	ŏp'il
주현	chuhyŏn
벣	pek
소개팅	sogaet'ing
쒐	sswŏm
왭	waep
세시기	sesigi
109호	109-ho
근주	kŭnju
킭	k'ik
조선대	chosŏndae
쿁	k'oet
흂	hyup
대비책	taebich'aek
형식	hyŏngsik
1982년	1982-yŏn
교통	kyot'ong
사섭	sasŏp
굹	kul
비단	pidan
슿	sŭ
뉞	nwin
약간	yakkan
리론	iron
쑘	ssyom
이로소이다	irosoida
뎡	tŏng
몆	myŏt
잠기다	chamgida
31년	31-yŏn
진정한	chinjŏnghan
2천리	2-ch'ŏlli
뒰	twil
초량	ch'oryang
아시모프	asimop'ŭ
체제	ch'eje
천문	ch'ŏnmun
유전	yujŏn
영작	yŏngjak
줱	chwŏt
공명	kongmyŏng
"꺽정"""	"kkŏk-chŏng"""
쮛	tchwe
잠겨버린	chamgyŏbŏrin
이즈미	ijŭmi
형성	hyŏngsŏng
셔	syŏ
책진	ch'aekchin
썘	ssyael
저축	chŏch'uk
핥	hal
한국불교.	hanguk
NGO론	ngonon
넘나들며	nŏmnadŭlmyŏ
이시며	isimyŏ
가부루	kaburu
칓	ch'it
아름답습니다	arŭmdapsŭmnida
궁억	kungŏk
조깅	choging
독서	toksŏ
문의	ŭi
・한국	hanʼguk
덕주	tŏkchu
호근	hogŭn
현대어	hyŏndaeŏ
고구리	koguri
넘버	nŏmbŏ
권택	kwŏnt'aek
지슬	chisŭl
그래요	kŭraeyo
흮	hŭik
흡연	hŭbyŏn
잘못	chalmot
믍	mŭl
중・고교	chung-kogyo
연천	yŏnch'ŏn
정통	chŏngt'ong
환	hwan
토보	t'obo
동물	tongmul
소록도	sorokto
던져	tŏnjyŏ
다이어그램	daiŏgŭraem
혼마	honma
주렁	churŏng
퐁넛	p'ongnŏt
퀸	k'win
곡곡	kokkok
350명	350-myŏng
조공	chogong
장시집	changsijip
담론자들	tamnonjadŭl
천홍	ch'ŏnhong
에서.	esŏ.
룳	nup
쭣	tchu
동전(동전	tongjŏn
파라텍스트	p'arat'eksŭt'ŭ
밀다	milta
도요토미	toyot'omi
기지들	kijidŭl
하인	hain
늇	yut
1932년	1932-nyŏn
읎	ŭp
푼	p'un
공리주의・	kongnijuŭi
유적	yujŏk
편집:예능	p'yŏnjip:yenŭng
믿는	minnŭn
픔	p'ŭm
용욱	yonguk
중어	chungʼŏ
민족사적	minjoksachŏk
젱	cheng
민중시	minjungsi
실체적	silch'ejŏk
퇡	t'waek
정식	chŏngsik
요록	yorok
용현	yonghyŏn
원삼	wŏnsam
젋	chŏp
에치오니	ech'ioni
엣센스	essensŭ
투표	t'up'yo
현문	hyŏnmun
쑌	ssyon
노래집	noraejip
문감	mun'gam
양천	yangch'ŏn
블로거	pŭllogŏ
엔터테인먼트	ent'ŏt'einmŏnt'ŭ
'이다'	'ida'
초사	ch'osa
수천	such'ŏn
발의	parŭi
중심적	chungsimjŏk
끓이며	kkŭrimyŏ
케이타로오	k'eit'aroo
매춘	maech'un
백가의집	paekkaŭijip
픹	p'it
나면	namyŏn
개정한	kaejŏnghan
이상한	isanghan
롙	yet
777일	777-il
퉧	t'wek
땒	ttaen
지식장	chisikchang
젤	chel
릡	nip
밭두렁	patturŏng
21명	21-myŏng
됧	toel
되기'	toegi'
뼱	ppyel
앗제	atche
어메니티	ŏmenit'i
한-아세안	han-asean
일본부	ilbonbu
걱	kŏk
중도론	chungdoron
것들.	kŏttŭl.
평범한	p'yŏngbŏmhan
긔봉	kŭibong
삼평리	samp'yŏng-ni
지칠	chich'il
교민	kyomin
데모	demo
군산	kunsan
뮔	mil
뿠	pput
강원	kangwŏn
찍어서	tchigŏsŏ
승이	sŭngi
근속	kŭnsok
Y대	ytae
수촌	such'on
교대	kyodae
쭩	tchwŏn
펿	p'yŏp
포럼'	p'orŏm'
서북	sŏbuk
캐나다인	k'aenadain
윺	yup
불학	purhak
츾	ch'ik
건중	kŏnjung
큐레이터	k'yureit'ŏ
세록	serok
쟭	chyaek
천부경·	ch'ŏnbugyŏng
완	wan
회담	hoedam
뱀파이어	paemp'aiŏ
프라하	p'ŭraha
리듬	ridŭm
교육감	kyoyukkam
동북아	tongbuga
습득론	sŭptŭngnon
나서야	nasŏya
단령	tallyŏng
였	yŏt
송암	songam
만희	manhŭi
창운	ch'angun
욉	oep
전람회	chŏllamhoe
큪	k'yup
경석	kyŏngsŏk
핃	p'it
찌개	tchigae
최신	ch'oesin
돇	tok
생명선	saengmyŏngsŏn
변신	pyŏnsin
대장촌	-taejangch'on
괜	kwaen
포드	p'odŭ
풍미	p'ungmi
쭴	tchwŏm
죽음학	chugŭmhak
앁	ssit
형성사	hyŏngsŏngsa
쎋	sset
일무	ilmu
재엽	chaeyŏp
장순	changsun
엮어서	yŏkkŏsŏ
개척자들	kaech'ŏkchadŭl
넡	nŏt
뮤지엄	myujiŏm
낻	naet
교한	kyohan
일형	ilhyŏng
봉사	pongsa
달리다	tallida
개작	kaejak
맛있는	masinnŭn
로시난테	rosinant'e
죊	choen
봉주	pongju
퍼	p'ŏ
익주	ikchu
밦	pap
안되는데	andoenŭnde
아부지	abuji
퇷	t'oek
금화사	kŭmhwasa
소명	somyŏng
전략서	chŏllyaksŏ
한・일어	han-irŏ
눈사람	nunsaram
룶	nup
위인!	wiin!
삼권	samkwŏn
아!	a!
못했을까?	mothaessŭlkka?
조사부	chosabu
95개조	95-kaejo
5세	5se
창화	ch'anghwa
영민	yŏngmin
태원	t'aewŏn
창원군	ch'angwŏn-gun
반시대성	pansidaesŏng
띗	ttŭit
광철	kwangch'ŏl
시지프스들	sijip'ŭsŭdŭl
술꾼	sulkkun
다케시마	tak'esima
75현	75-hyŏn
쉊	swŏt
광장	kwangjang
나흘	nahŭl
좋을	choŭl
모음집.	moŭmjip
16세기	16-segi
천지굿	ch'ŏnjigut
이니셔티브	inisyŏt'ibŭ
녹여	nogyŏ
만드는가?	mandŭnŭn'ga?
효정	hyojŏng
듪	tŭp
문완	munwan
'삼사	'samsa
헅	hyaet
드라마틱한	tŭramat'ikhan
다	ta
회화서	hoehwasŏ
아이고	aigo
하겠네	hagenne
솨	swa
경영법	kyŏngyŏngpŏp
분담금	pundamgŭm
슬랭	sŭllaeng
맛	mat
놀지머	noljimŏ
건용	kŏnyong
성국	sŏngguk
짙게	chitke
겐스케	kensŭk'e
쵰	ch'oet
믿는다	minnŭnda
촢	ch'op
연구원，	yŏnʼguwŏn
가사류	kasaryu
쭮	tchwŏm
옮긴이	omgini
모영	moyŏng
닋	ik
남동	namdong
놓고	nok'o
주변국	chubyŏn'guk
쎆	ssek
아리	ari
형철	hyŏngch'ŏl
떬	ttŏl
협죽도	hyŏpchukto
전략가들	chŏllyakkadŭl
인재	injae
빗살	pitsal
붸	pwe
개수	kaesu
녎	yŏp
각오	kago
척도	ch'ŏkto
날줄	nalchul
지속적인	chisokchŏgin
길홍	kirhong
전복	chŏnbok
빛나던	pinnadŏn
게송	kesong
덧셈	tŏtsem
론문집	nonmunjip
밝혀지는	palk'yŏjinŭn
수사관	susagwan
콸	k'wal
덇	tyael
목표	mokp'yo
영원	yŏngwŏn
수업료	suŏmnyo
두레	ture
색다른	saektarŭn
쐖	sswaen
춯	ch'u
쑐	ssyol
숁	son
빛날	pinnal
모닥불	modakpul
꽬	kkwael
성황당	sŏnghwangdang
영가	yŏngga
인간사	inʼgansa
주군	chugun
내포	naep'o
밝혀낸	palk'yŏnaen
셋이서	sesisŏ
받으라	padŭra
전문가'	chŏnmun'ga'
태승	t'aesŭng
룡남	yongnam
유니	yuni
베르트랑	berŭt'ŭrang
창녀	ch'angnyŏ
2,000년	2,000-yŏn
엩	et
달라진다	tallajinda
로그인	logŭin
남숭	namsung
역주	yŏkchu
재판정	chaep'anjŏng
뤒	nwŏp
구르는	kurŭnŭn
사용기	sayonggi
이+세+명	i+se+myŏng
걒	kyap
전후'	'chŏnhu'
수성	susŏng
봸	pwael
승렬	sŭngnyŏl
달중이	talchungi
범률	pŏmnyul
화혼	hwahon
공신	kongsin
츥	ch'ŭn
석가	sŏkka
사이비	saibi
쌀	ssal
준연	chunyŏn
병모	pyŏngmo
처녀	ch'ŏnyŏ
이성	isŏng
정책가	chŏngch'aekka
개소문	kaesomun
걢	kyaep
요배	yobae
고문관들	komun'gwandŭl
지켜진	chik'yŏjin
쭉	tchuk
1세대	1-sedae
진규	chingyu
언론학	ŏllonhak
핗	p'i
독학	tokhak
초년생	ch'onyŏnsaeng
삊	ppŭit
솣	sot
각국사	kakkuksa
병합'	pyŏnghap'
파워!	p'awŏ!
시어머니	siŏmŏni
즐긴	chŭlgin
민희	minhŭi
승진	sŭngjin
아주	aju
줵	chwek
충열	ch'ungyŏl
겷	kyŏl
쏠림	ssollim
특별시사	t'ŭkpyŏlsisa
숡	suk
담론	tamnon
뫘	mwat
스기모토	sŭgimot'o
경영학적	kyŏngyŏnghakchŏk
땃	ttat
시끌벅적	sikkŭlbŏkchŏk
일건	ilgŏn
그리기	kŭrigi
유용	yuyong
히고	higo
풀	p'ul
잠기고	chamgigo
전쟁'	chŏnjaeng'
학업	hagŏp
뗃	ttet
그리움	kŭrium
고우	kou
범망경	pŏmmanggyŏng
쾫	k'oek
세우는	seunŭn
븴	pil
주언	chuŏn
번째	pŏntchae
우물골	umulkol
일기장	ilgichang
형인	hyŏngin
웚	wŏp
놓치지	noch'iji
퇙	t'waek
선언서	sŏnŏnsŏ
따비	ttabi
기업청	kiŏpch'ŏng
인도양	indoyang
우식	usik
쇬	soel
죌	choel
광형	kwanghyŏng
혪	hyep
만들기	mandŭlgi
1945-1965년	1945-1965-yŏn
뻦	ppŏt
165인	165-in
정혜	chŏnghye
냨	yak
챳	ch'at
조선--발해	chosŏn--parhae
의환	ŭihwan
장신	changsin
댫	tal
복지적	pokchijŏk
조정관실	chojŏnggwansil
좇다	chotta
양광	yanggwang
개정판	kaejŏngp'an
눈썹	nunssŏp
휴머니티	hyumŏnit'i
고문헌집	komunhŏnjip
퀴어	k'wiŏ
표기	p'yogi
"노래"""	"norae"""
붗	put
반북	panbuk
쁇	ppyup
가현	kahyŏn
맑음	malgŭm
누운	nuun
근대편	kŭndaep'yŏn
키르기스스탄	k'irŭgisŭsŭt'an
만세!	manse!
"""마더"""	"""madŏ"""
가던	kadŏn
륞	yun
벌어지는	pŏrŏjinŭn
효율	hyoyul
쑳	ssul
뾣	ppoel
고품격	kop'umkyŏk
둏	to
낯설음	natsŏrŭm
기춘	kich'un
입히다	ip'ida
돹	twat
이게	ige
뚿	ttwŏt
오피니언	op'iniŏn
가느냐	kanŭnya
비국민	pigungmin
전후사	chŏnhusa
당찬	tangch'an
느리면	nŭrimyŏn
구원	kuwŏn
창의력	ch'angŭiryŏk
뜡	ttyung
열려	yŏllyŏ
통일할	t'ongirhal
50목(목	50-mok
장로직	changnojik
130주년	130-chunyŏn
풀었다	p'urŏtta
콀	k'yel
진소	chinso
맙	map
의복	ŭibok
올까?	olkka?
7차	7ch'a
인봉	inbong
업종별	ŏpchongbyŏl
무가.	muga.
안드는	andŭnŭn
휫	hwit
기기	kigi
헌법학적	hŏnpŏphakchŏk
을병	ŭlbyŏng
모색.	mosaek.
뺑덕	ppaengdŏk
권고	kwŏn'go
미일	miil
창일	ch'angil
양성	yangsŏng
기환	kihwan
민근	mingŭn
멊	mŏp
빈처	pinch'ŏ
쳻	ch'el
뚾	ttwŏn
쑷	ssut
얳	yae
뉍	nwep
'조선심'	'chosŏnsim'
반동성	pandongsŏng
송서	songsŏ
취재반	ch'wijaeban
근원	kŭnwŏn
통계집	t'onggyejip
기용	kiyong
한나절	hannajŏl
지독한	chidokhan
